2024-12-03T20:14:14,e4372c1e283a,fat_free_crm-web-1,0.11%,513MiB / 7.425GiB fb87f88ed80a,fat_free_crm-db-1,0.26%,97.08MiB / 7.425GiB 
2024-12-03T20:14:27,e4372c1e283a,fat_free_crm-web-1,0.03%,512.9MiB / 7.425GiB fb87f88ed80a,fat_free_crm-db-1,0.24%,97.11MiB / 7.425GiB 
2024-12-03T20:14:40,e4372c1e283a,fat_free_crm-web-1,0.02%,539.4MiB / 7.425GiB fb87f88ed80a,fat_free_crm-db-1,0.23%,97.15MiB / 7.425GiB 
2024-12-03T20:14:52,e4372c1e283a,fat_free_crm-web-1,0.01%,539.4MiB / 7.425GiB fb87f88ed80a,fat_free_crm-db-1,0.00%,97.62MiB / 7.425GiB 
2024-12-03T20:15:05,e4372c1e283a,fat_free_crm-web-1,0.03%,550.3MiB / 7.425GiB fb87f88ed80a,fat_free_crm-db-1,0.00%,97.61MiB / 7.425GiB 
2024-12-03T20:15:17,e4372c1e283a,fat_free_crm-web-1,0.04%,550.3MiB / 7.425GiB fb87f88ed80a,fat_free_crm-db-1,0.02%,97.61MiB / 7.425GiB 
2024-12-03T20:15:30,e4372c1e283a,fat_free_crm-web-1,0.02%,550.4MiB / 7.425GiB fb87f88ed80a,fat_free_crm-db-1,0.00%,97.61MiB / 7.425GiB 
2024-12-03T20:15:43,e4372c1e283a,fat_free_crm-web-1,0.02%,550.4MiB / 7.425GiB fb87f88ed80a,fat_free_crm-db-1,0.01%,97.62MiB / 7.425GiB 
2024-12-03T20:15:55,e4372c1e283a,fat_free_crm-web-1,0.03%,550.5MiB / 7.425GiB fb87f88ed80a,fat_free_crm-db-1,0.00%,97.62MiB / 7.425GiB 
2024-12-03T20:16:08,e4372c1e283a,fat_free_crm-web-1,0.02%,550.4MiB / 7.425GiB fb87f88ed80a,fat_free_crm-db-1,0.00%,97.62MiB / 7.425GiB 
2024-12-03T20:16:20,e4372c1e283a,fat_free_crm-web-1,0.02%,550.4MiB / 7.425GiB fb87f88ed80a,fat_free_crm-db-1,0.00%,97.62MiB / 7.425GiB 
